code;pairCode;name;price;priceRatio;standardPrice;purchasePrice;purchasePriceVatRate;purchasePriceIncludingVat;actionPrice;maxDiscount;
"41901";"565";"Obratlíky GIANTS FISHING Rolling Swivel";"0,98";"1";"0,98";"0,47";"23";"1";"0,98";;
"100779";"566";"Krmítko Method Feeder Fans Flat Feeder Long Distance v.2";"2,99";"1";"2,99";"1,52";"23";"1";"2,99";;
"100780";"566";"Krmítko Method Feeder Fans Flat Feeder Long Distance v.2";"3,28";"1";"3,28";"1,52";"23";"1";"3,28";;
"100781";"566";"Krmítko Method Feeder Fans Flat Feeder Long Distance v.2";"2,99";"1";"2,99";"1,52";"23";"1";"2,99";;
"3608";"567";"Silikónové gumičky STONFO";"1,39";"1";"1,39";"0,94";"23";"1";"1,39";;
"3643";"567";"Silikónové gumičky STONFO";"1,33";"1";"1,33";"0,96";"23";"1";"1,33";;
"67065";"568";"Háčiky MIKADO Jaws Offset";"3,10";"1";"3,10";"1,45";"23";"1";"2,82";"25";
"67066";"568";"Háčiky MIKADO Jaws Offset";"3,10";"1";"3,10";"1,45";"23";"1";"2,82";"25";
"67067";"568";"Háčiky MIKADO Jaws Offset";"3,10";"1";"3,10";"1,45";"23";"1";"2,82";"25";
"67068";"568";"Háčiky MIKADO Jaws Offset";"3,10";"1";"3,10";"1,45";"23";"1";"2,88";"25";
"67069";"568";"Háčiky MIKADO Jaws Offset";"3,10";"1";"3,10";"1,45";"23";"1";"2,82";"25";
"14840";;"Lepidlo UNILEP D418";"2,00";"1";"2,00";"1,50";"23";"1";"2,00";"10";
"56272";"569";"Prút MIVARDI Atomium";"68,99";"1";"68,99";"34,56";"23";"1";"62,09";"10";
"56281";"569";"Prút MIVARDI Atomium";"71,00";"1";"71,00";"35,56";"23";"1";"63,90";"10";
"83736";"570";"Prút FOX Horizon X3 Abbreviated Handle";"153,65";"1";"153,65";"77,50";"23";"1";"153,65";;
"83743";"570";"Prút FOX Horizon X3 Abbreviated Handle";"122,41";"1";"122,41";"51,36";"23";"1";"122,41";;
"104408";;"Nástraha ILLEX Runner Blade 7,2 cm, Pearl Bone";"12,95";"1";"12,95";"6,12";"23";"1";"12,95";;
"100795";;"Dezinfekcia METHOD FEEDER FANS Fish First Aid Clinic Clear, 50 ml";"3,99";"1";"3,99";"2,20";"23";"1";"3,99";;
"67173";"571";"Plandavka MIKADO Ice Spoon 2,4cm";"1,30";"1";"1,30";"0,54";"23";"1";"1,18";"25";
"67174";"571";"Plandavka MIKADO Ice Spoon 2,4cm";"1,37";"1";"1,37";"0,50";"23";"1";"1,25";"25";
"67175";"571";"Plandavka MIKADO Ice Spoon 2,4cm";"1,33";"1";"1,33";"0,53";"23";"1";"1,21";"25";
"56288";"572";"Navijak MIVARDI Ajax";"31,00";"1";"31,00";"15,52";"23";"1";"27,90";"10";
"56289";"572";"Navijak MIVARDI Ajax";"31,99";"1";"31,99";"16,02";"23";"1";"28,79";"10";
"104425";;"Vobler ILLEX Battle Minnow 80 F, Ghost Minnow";"17,50";"1";"17,50";"7,48";"23";"1";"17,50";;
"41927";;"Pikniková taška GIANTS FISHING Food Bag Compact";"27,76";"1";"27,76";"14,12";"23";"1";"27,76";;
"100809";;"Sprej Method Feeder Fans Spray 50 ml, N-Butyric Acid";"3,99";"1";"3,99";"1,80";"23";"1";"3,99";;
"67284";;"Montáž MIKADO Ready Leadcore Rigs With Safety";"3,95";"1";"3,95";"1,13";"23";"1";"3,59";"25";
"15811";"573";"Šnúra DELPHIN Carp Hook Line 6K";"8,50";"1";"8,50";"3,97";"23";"1";"7,23";"25";
"25265";"573";"Šnúra DELPHIN Carp Hook Line 6K";"8,50";"1";"8,50";"3,97";"23";"1";"7,23";"25";
"56304";;"Prepravný box MIVARDI Hardcore s vekom, veľ. S";"13,99";"1";"13,99";"7,01";"23";"1";"12,59";"10";
"83764";"574";"Krátke nohavice FOX Rage Lightweight Short";"39,99";"1";"39,99";"20,00";"23";"1";"39,99";;
"83765";"574";"Krátke nohavice FOX Rage Lightweight Short";"39,99";"1";"39,99";"20,00";"23";"1";"39,99";;
"83766";"574";"Krátke nohavice FOX Rage Lightweight Short";"39,99";"1";"39,99";"17,78";"23";"1";"39,99";;
"83767";"574";"Krátke nohavice FOX Rage Lightweight Short";"39,99";"1";"39,99";"20,00";"23";"1";"39,99";;
"104441";;"Nástraha SENSAS Method Wafters, Cesnak";"5,95";"1";"5,95";"2,68";"23";"1";"5,95";;
"76430";"575";"Kevlarová šnúra OPTIMA Kevlar Tress";"4,50";"1";"4,50";"2,92";"23";"1";"4,50";;
"76508";"575";"Kevlarová šnúra OPTIMA Kevlar Tress";"4,50";"1";"4,50";"2,92";"23";"1";"4,50";;
"36286";;"Príposluch ZICO Unicarp";"43,55";"1";"43,55";"20,06";"23";"1";"43,55";;
"67347";;"Brúska MIKADO Diamond Grooved Hook File";"6,05";"1";"6,05";"2,61";"23";"1";"5,51";"25";
"90891";;"Ruksak DELPHIN Tranzporter Space C2G";"112,95";"1";"112,95";"36,32";"23";"1";"96,01";"25";
"16913";;"Taška MIVARDI Executive";"84,99";"1";"84,99";"41,57";"23";"1";"76,49";"10";
"56324";;"Svietiaca ihla MIVARDI Nite Glow Stringer Needle";"3,99";"1";"3,99";"1,88";"23";"1";"3,59";"10";
"83780";;"Navijak MATRIX Aquos Ultra Reel 6000";"77,99";"1";"77,99";"43,33";"23";"1";"77,99";;
"41977";;"Puzdro GIANTS FISHING PVA-Lead Multi Bag na záťaže";"49,61";"1";"49,61";"26,20";"23";"1";"49,61";;
"101043";"576";"Plávajúce boilie NIKL Crab, 50g";"8,00";"1";"8,00";"4,76";"23";"1";"8,00";;
"101044";"576";"Plávajúce boilie NIKL Crab, 50g";"6,45";"1";"6,45";"3,43";"23";"1";"6,45";;
"36321";"577";"Háčiky OWNER CT-1 Flyliner";"4,15";"1";"4,15";"1,86";"23";"1";"4,15";;
"36322";"577";"Háčiky OWNER CT-1 Flyliner";"4,15";"1";"4,15";"1,94";"23";"1";"4,15";;
"90917";;"Púzdro DELPHIN Stick Space C2G na vidličky";"20,95";"1";"20,95";"11,08";"23";"1";"17,81";"25";
"17169";"578";"Vlasec AWA-SHIMA Ion Power Red Iso Fluorine";"8,52";"1";"8,52";"4,79";"23";"1";"8,52";;
